group_name,file_name,nodule_name,nodule_size(pixels)
302 ts Soil,IMG_0307,IMG_0307_1,4458
302 ts Soil,IMG_0307,IMG_0307_2,110
302 ts Soil,IMG_0307,IMG_0307_3,1368
302 ts Soil,IMG_0307,IMG_0307_4,2647
302 ts Soil,IMG_0307,IMG_0307_5,1292
302 ts Soil,IMG_0307,IMG_0307_6,559
302 ts Soil,IMG_0307,IMG_0307_7,3402
302 ts Soil,IMG_0307,IMG_0307_8,1535
302 ts Soil,IMG_0307,IMG_0307_9,249
302 ts Soil,IMG_0307,IMG_0307_10,982
302 ts Soil,IMG_0307,IMG_0307_11,6115
302 ts Soil,IMG_0307,IMG_0307_12,149
302 ts Soil,IMG_0307,IMG_0307_13,1984
302 ts Soil,IMG_0307,IMG_0307_14,2354
302 ts Soil,IMG_0307,IMG_0307_15,73
302 ts Soil,IMG_0307,IMG_0307_16,248
302 ts Soil,IMG_0307,IMG_0307_17,3991
302 ts Soil,IMG_0307,IMG_0307_18,2184
302 ts Soil,IMG_0307,IMG_0307_19,599
302 ts Soil,IMG_0307,IMG_0307_20,1674
302 ts Soil,IMG_0307,IMG_0307_21,1547
302 ts Soil,IMG_0307,IMG_0307_22,803
302 ts Soil,IMG_0307,IMG_0307_23,414
302 ts Soil,IMG_0307,IMG_0307_24,6183
302 ts Soil,IMG_0307,IMG_0307_25,492
302 ts Soil,IMG_0307,IMG_0307_26,1125
302 ts Soil,IMG_0307,IMG_0307_27,2771
302 ts Soil,IMG_0307,IMG_0307_28,4481
302 ts Soil,IMG_0307,IMG_0307_29,939
302 ts Soil,IMG_0307,IMG_0307_30,3560
205 ps Water,IMG_0636,IMG_0636_1,1357
205 ps Water,IMG_0636,IMG_0636_2,3593
205 ps Water,IMG_0636,IMG_0636_3,5338
205 ps Water,IMG_0636,IMG_0636_4,4429
205 ps Water,IMG_0636,IMG_0636_5,420
205 ps Water,IMG_0636,IMG_0636_6,966
205 ps Water,IMG_0636,IMG_0636_7,908
205 ps Water,IMG_0636,IMG_0636_8,2012
205 ps Water,IMG_0636,IMG_0636_9,1322
205 ps Water,IMG_0636,IMG_0636_10,10495
205 ps Water,IMG_0636,IMG_0636_11,3303
205 ps Water,IMG_0636,IMG_0636_12,1037
205 ps Water,IMG_0636,IMG_0636_13,2845
205 ps Water,IMG_0636,IMG_0636_14,76
205 ps Water,IMG_0636,IMG_0636_15,2751
205 ps Water,IMG_0636,IMG_0636_16,840
205 ps Water,IMG_0636,IMG_0636_17,1209
205 ps Water,IMG_0636,IMG_0636_18,1189
205 ps Water,IMG_0636,IMG_0636_19,838
205 ps Water,IMG_0636,IMG_0636_20,2369
205 ps Water,IMG_0636,IMG_0636_21,206
205 ps Water,IMG_0636,IMG_0636_22,521
205 ps Water,IMG_0636,IMG_0636_23,766
205 ps Water,IMG_0636,IMG_0636_24,310
205 ps Water,IMG_0636,IMG_0636_25,1823
205 ps Water,IMG_0636,IMG_0636_26,836
205 ps Water,IMG_0636,IMG_0636_27,908
205 ps Water,IMG_0636,IMG_0636_28,1325
205 ps Water,IMG_0636,IMG_0636_29,1044
205 ps Water,IMG_0636,IMG_0636_30,633
205 ps Water,IMG_0636,IMG_0636_31,178
205 ps Water,IMG_0636,IMG_0636_32,1944
205 ps Water,IMG_0636,IMG_0636_33,359
205 ps Water,IMG_0636,IMG_0636_34,5051
205 ps Water,IMG_0636,IMG_0636_35,421
205 ps Water,IMG_0636,IMG_0636_36,1201
205 ps Water,IMG_0636,IMG_0636_37,948
205 ps Water,IMG_0636,IMG_0636_38,2179
205 ps Water,IMG_0636,IMG_0636_39,417
205 ps Water,IMG_0636,IMG_0636_40,8443
205 ps Water,IMG_0636,IMG_0636_41,285
205 ps Water,IMG_0636,IMG_0636_42,488
205 ps Water,IMG_0636,IMG_0636_43,1423
205 ps Water,IMG_0636,IMG_0636_44,1669
203 ts Water,IMG_0672,IMG_0672_1,5552
203 ts Water,IMG_0672,IMG_0672_2,79
203 ts Water,IMG_0672,IMG_0672_3,2196
203 ts Water,IMG_0672,IMG_0672_4,1124
203 ts Water,IMG_0672,IMG_0672_5,219
203 ts Water,IMG_0672,IMG_0672_6,1186
203 ts Water,IMG_0672,IMG_0672_7,1623
203 ts Water,IMG_0672,IMG_0672_8,179
203 ts Water,IMG_0672,IMG_0672_9,907
203 ts Water,IMG_0672,IMG_0672_10,940
203 ts Water,IMG_0672,IMG_0672_11,705
203 ts Water,IMG_0672,IMG_0672_12,1911
203 ts Water,IMG_0672,IMG_0672_13,328
203 ts Water,IMG_0672,IMG_0672_14,598
203 ts Water,IMG_0672,IMG_0672_15,675
203 ts Water,IMG_0672,IMG_0672_16,3971
203 ts Water,IMG_0672,IMG_0672_17,1665
203 ts Water,IMG_0672,IMG_0672_18,227
203 ts Water,IMG_0672,IMG_0672_19,1504
203 ts Water,IMG_0672,IMG_0672_20,1019
203 ts Water,IMG_0672,IMG_0672_21,1338
203 ts Water,IMG_0672,IMG_0672_22,1224
203 ts Water,IMG_0672,IMG_0672_23,317
203 ts Water,IMG_0672,IMG_0672_24,2497
203 ts Water,IMG_0672,IMG_0672_25,1995
203 ts Water,IMG_0672,IMG_0672_26,1155
203 ts Water,IMG_0672,IMG_0672_27,564
203 ts Water,IMG_0672,IMG_0672_28,1828
203 ts Water,IMG_0672,IMG_0672_29,141
203 ts Water,IMG_0672,IMG_0672_30,454
203 ts Water,IMG_0672,IMG_0672_31,559
203 ts Water,IMG_0672,IMG_0672_32,1705
203 ts Water,IMG_0672,IMG_0672_33,251
203 ts Water,IMG_0672,IMG_0672_34,1741
203 ts Water,IMG_0672,IMG_0672_35,158
203 ts Water,IMG_0672,IMG_0672_36,387
203 ts Water,IMG_0672,IMG_0672_37,807
203 ts Water,IMG_0672,IMG_0672_38,352
203 ts Water,IMG_0672,IMG_0672_39,1800
203 ts Water,IMG_0672,IMG_0672_40,2908
203 ts Water,IMG_0672,IMG_0672_41,78
203 ts Water,IMG_0672,IMG_0672_42,741
203 ts Water,IMG_0672,IMG_0672_43,772
203 ts Water,IMG_0672,IMG_0672_44,2488
203 ts Water,IMG_0672,IMG_0672_45,77
203 ts Water,IMG_0672,IMG_0672_46,220
203 ts Water,IMG_0672,IMG_0672_47,502
203 ts Water,IMG_0672,IMG_0672_48,182
203 ts Water,IMG_0672,IMG_0672_49,1744
203 ts Water,IMG_0672,IMG_0672_50,708
203 ts Water,IMG_0672,IMG_0672_51,703
203 ts Water,IMG_0672,IMG_0672_52,842
203 ts Water,IMG_0672,IMG_0672_53,461
203 ts Water,IMG_0672,IMG_0672_54,397
203 ts Water,IMG_0672,IMG_0672_55,671
203 ts Water,IMG_0672,IMG_0672_56,1043
203 ts Water,IMG_0672,IMG_0672_57,3319
203 ts Water,IMG_0672,IMG_0672_58,675
203 ts Water,IMG_0672,IMG_0672_59,849
203 ts Water,IMG_0672,IMG_0672_60,804
203 ts Water,IMG_0672,IMG_0672_61,113
203 ts Water,IMG_0672,IMG_0672_62,1611
203 ts Water,IMG_0672,IMG_0672_63,3840
203 ts Water,IMG_0672,IMG_0672_64,1833
203 ts Water,IMG_0672,IMG_0672_65,392
203 ts Water,IMG_0672,IMG_0672_66,806
203 ts Water,IMG_0672,IMG_0672_67,113
203 ts Water,IMG_0672,IMG_0672_68,75
203 ts Water,IMG_0672,IMG_0672_69,2053
203 ts Water,IMG_0672,IMG_0672_70,936
203 ts Water,IMG_0672,IMG_0672_71,736
203 ts Water,IMG_0672,IMG_0672_72,209
203 ts Water,IMG_0672,IMG_0672_73,1553
203 ts Water,IMG_0672,IMG_0672_74,771
203 ts Water,IMG_0672,IMG_0672_75,388
203 ts Water,IMG_0672,IMG_0672_76,914
203 ts Water,IMG_0672,IMG_0672_77,493
203 ts Water,IMG_0672,IMG_0672_78,917
203 ts Water,IMG_0672,IMG_0672_79,251
203 ts Water,IMG_0672,IMG_0672_80,1301
203 ts Water,IMG_0672,IMG_0672_81,1339
203 ts Water,IMG_0672,IMG_0672_82,322
203 ts Water,IMG_0672,IMG_0672_83,493
203 ts Water,IMG_0672,IMG_0672_84,74
203 ts Water,IMG_0672,IMG_0672_85,364
203 ts Water,IMG_0672,IMG_0672_86,491
201 ts Soil,IMG_0739,IMG_0739_1,870
201 ts Soil,IMG_0739,IMG_0739_2,1096
201 ts Soil,IMG_0739,IMG_0739_3,1171
201 ts Soil,IMG_0739,IMG_0739_4,422
201 ts Soil,IMG_0739,IMG_0739_5,948
201 ts Soil,IMG_0739,IMG_0739_6,431
201 ts Soil,IMG_0739,IMG_0739_7,1905
201 ts Soil,IMG_0739,IMG_0739_8,397
201 ts Soil,IMG_0739,IMG_0739_9,907
201 ts Soil,IMG_0739,IMG_0739_10,1213
201 ts Soil,IMG_0739,IMG_0739_11,1636
201 ts Soil,IMG_0739,IMG_0739_12,1420
201 ts Soil,IMG_0739,IMG_0739_13,505
201 ts Soil,IMG_0739,IMG_0739_14,184
201 ts Soil,IMG_0739,IMG_0739_15,422
201 ts Soil,IMG_0739,IMG_0739_16,702
201 ts Soil,IMG_0739,IMG_0739_17,732
201 ts Soil,IMG_0739,IMG_0739_18,843
201 ts Soil,IMG_0739,IMG_0739_19,4231
201 ts Soil,IMG_0739,IMG_0739_20,2282
201 ts Soil,IMG_0739,IMG_0739_21,78
201 ts Soil,IMG_0739,IMG_0739_22,919
201 ts Soil,IMG_0739,IMG_0739_23,464
201 ts Soil,IMG_0739,IMG_0739_24,563
201 ts Soil,IMG_0739,IMG_0739_25,493
201 ts Soil,IMG_0739,IMG_0739_26,1266
201 ts Soil,IMG_0739,IMG_0739_27,80
201 ts Soil,IMG_0739,IMG_0739_28,312
201 ts Soil,IMG_0739,IMG_0739_29,3079
201 ts Soil,IMG_0739,IMG_0739_30,427
201 ts Soil,IMG_0739,IMG_0739_31,389
201 ts Soil,IMG_0739,IMG_0739_32,1820
201 ts Soil,IMG_0739,IMG_0739_33,1654
201 ts Soil,IMG_0739,IMG_0739_34,305
201 ts Soil,IMG_0739,IMG_0739_35,1345
201 ts Soil,IMG_0739,IMG_0739_36,284
201 ts Soil,IMG_0739,IMG_0739_37,1948
201 ts Soil,IMG_0739,IMG_0739_38,981
104 ps Soil,IMG_0474,IMG_0474_1,1616
104 ps Soil,IMG_0474,IMG_0474_2,635
104 ps Soil,IMG_0474,IMG_0474_3,862
104 ps Soil,IMG_0474,IMG_0474_4,1692
104 ps Soil,IMG_0474,IMG_0474_5,2063
104 ps Soil,IMG_0474,IMG_0474_6,1048
104 ps Soil,IMG_0474,IMG_0474_7,4760
104 ps Soil,IMG_0474,IMG_0474_8,2913
104 ps Soil,IMG_0474,IMG_0474_9,735
104 ps Soil,IMG_0474,IMG_0474_10,2494
104 ps Soil,IMG_0474,IMG_0474_11,1884
104 ps Soil,IMG_0474,IMG_0474_12,765
104 ps Soil,IMG_0474,IMG_0474_13,624
104 ps Soil,IMG_0474,IMG_0474_14,2640
104 ps Soil,IMG_0474,IMG_0474_15,1635
104 ps Soil,IMG_0474,IMG_0474_16,3026
104 ps Soil,IMG_0474,IMG_0474_17,310
104 ps Soil,IMG_0474,IMG_0474_18,1344
104 ps Soil,IMG_0474,IMG_0474_19,983
104 ps Soil,IMG_0474,IMG_0474_20,5553
104 ps Soil,IMG_0474,IMG_0474_21,4966
104 ps Soil,IMG_0474,IMG_0474_22,2549
104 ps Soil,IMG_0474,IMG_0474_23,2495
104 ps Soil,IMG_0474,IMG_0474_24,9374
104 ps Soil,IMG_0474,IMG_0474_25,935
104 ps Soil,IMG_0474,IMG_0474_26,3617
104 ps Soil,IMG_0474,IMG_0474_27,422
104 ps Soil,IMG_0474,IMG_0474_28,1425
104 ps Soil,IMG_0474,IMG_0474_29,1417
104 ps Soil,IMG_0474,IMG_0474_30,1523
104 ps Soil,IMG_0474,IMG_0474_31,9304
104 ps Soil,IMG_0474,IMG_0474_32,2119
104 ps Soil,IMG_0474,IMG_0474_33,316
104 ps Soil,IMG_0474,IMG_0474_34,4714
104 ps Soil,IMG_0474,IMG_0474_35,1159
104 ps Soil,IMG_0474,IMG_0474_36,523
104 ps Soil,IMG_0474,IMG_0474_37,2148
104 ps Soil,IMG_0474,IMG_0474_38,320
104 ps Soil,IMG_0474,IMG_0474_39,1518
104 ps Soil,IMG_0474,IMG_0474_40,2012
104 ps Soil,IMG_0474,IMG_0474_41,922
104 ps Soil,IMG_0474,IMG_0474_42,699
104 ps Soil,IMG_0474,IMG_0474_43,3743
104 ps Soil,IMG_0474,IMG_0474_44,995
104 ps Soil,IMG_0474,IMG_0474_45,1638
104 ps Soil,IMG_0474,IMG_0474_46,2958
104 ps Soil,IMG_0474,IMG_0474_47,805
104 ps Soil,IMG_0474,IMG_0474_48,735
104 ps Soil,IMG_0474,IMG_0474_49,2208
104 ps Soil,IMG_0474,IMG_0474_50,912
104 ps Soil,IMG_0474,IMG_0474_51,2932
104 ps Soil,IMG_0474,IMG_0474_52,3603
104 ps Soil,IMG_0474,IMG_0474_53,1057
104 ps Soil,IMG_0474,IMG_0474_54,863
104 ps Soil,IMG_0474,IMG_0474_55,4936
104 ps Soil,IMG_0474,IMG_0474_56,1309
104 ps Soil,IMG_0474,IMG_0474_57,1151
104 ps Soil,IMG_0474,IMG_0474_58,738
104 ps Soil,IMG_0474,IMG_0474_59,420
104 ps Soil,IMG_0474,IMG_0474_60,1007
104 ps Soil,IMG_0474,IMG_0474_61,1417
104 ps Soil,IMG_0474,IMG_0474_62,355
104 ps Soil,IMG_0474,IMG_0474_63,211
104 ps Soil,IMG_0474,IMG_0474_64,485
104 ps Soil,IMG_0474,IMG_0474_65,865
104 ps Soil,IMG_0474,IMG_0474_66,489
104 ps Soil,IMG_0474,IMG_0474_67,587
104 ps Soil,IMG_0474,IMG_0474_68,1295
104 ps Soil,IMG_0474,IMG_0474_69,1920
104 ps Soil,IMG_0474,IMG_0474_70,75
104 ps Soil,IMG_0474,IMG_0474_71,1803
104 ps Soil,IMG_0474,IMG_0474_72,186
104 ps Soil,IMG_0474,IMG_0474_73,313
104 ps Soil,IMG_0474,IMG_0474_74,204
104 ps Soil,IMG_0474,IMG_0474_75,528
104 ps Soil,IMG_0474,IMG_0474_76,318
104 ps Soil,IMG_0474,IMG_0474_77,379
104 ps Soil,IMG_0474,IMG_0474_78,456
104 ps Soil,IMG_0474,IMG_0474_79,528
104 ps Soil,IMG_0474,IMG_0474_80,355
104 ps Soil,IMG_0474,IMG_0474_81,498
104 ps Soil,IMG_0474,IMG_0474_82,1267
104 ps Soil,IMG_0474,IMG_0474_83,317
104 ps Soil,IMG_0474,IMG_0474_84,1072
104 ps Soil,IMG_0474,IMG_0474_85,2447
104 ps Soil,IMG_0474,IMG_0474_86,384
101 ts Water,IMG_0177,IMG_0177_1,559
101 ts Water,IMG_0177,IMG_0177_2,5548
101 ts Water,IMG_0177,IMG_0177_3,1642
101 ts Water,IMG_0177,IMG_0177_4,272
101 ts Water,IMG_0177,IMG_0177_5,1194
101 ts Water,IMG_0177,IMG_0177_6,8879
101 ts Water,IMG_0177,IMG_0177_7,3942
101 ts Water,IMG_0177,IMG_0177_8,1357
101 ts Water,IMG_0177,IMG_0177_9,2532
101 ts Water,IMG_0177,IMG_0177_10,175
101 ts Water,IMG_0177,IMG_0177_11,1671
101 ts Water,IMG_0177,IMG_0177_12,3547
101 ts Water,IMG_0177,IMG_0177_13,1208
101 ts Water,IMG_0177,IMG_0177_14,5564
101 ts Water,IMG_0177,IMG_0177_15,2015
101 ts Water,IMG_0177,IMG_0177_16,1482
101 ts Water,IMG_0177,IMG_0177_17,1598
101 ts Water,IMG_0177,IMG_0177_18,385
101 ts Water,IMG_0177,IMG_0177_19,1341
101 ts Water,IMG_0177,IMG_0177_20,1550
101 ts Water,IMG_0177,IMG_0177_21,660
101 ts Water,IMG_0177,IMG_0177_22,494
101 ts Water,IMG_0177,IMG_0177_23,1433
101 ts Water,IMG_0177,IMG_0177_24,1346
101 ts Water,IMG_0177,IMG_0177_25,668
101 ts Water,IMG_0177,IMG_0177_26,383
101 ts Water,IMG_0177,IMG_0177_27,1209
101 ts Water,IMG_0177,IMG_0177_28,313
101 ts Water,IMG_0177,IMG_0177_29,3453
101 ts Water,IMG_0177,IMG_0177_30,10233
101 ts Water,IMG_0177,IMG_0177_31,73
106 ps Water,IMG_0407,IMG_0407_1,3297
106 ps Water,IMG_0407,IMG_0407_2,2679
106 ps Water,IMG_0407,IMG_0407_3,139
106 ps Water,IMG_0407,IMG_0407_4,363
106 ps Water,IMG_0407,IMG_0407_5,4496
106 ps Water,IMG_0407,IMG_0407_6,6805
106 ps Water,IMG_0407,IMG_0407_7,1558
106 ps Water,IMG_0407,IMG_0407_8,2899
106 ps Water,IMG_0407,IMG_0407_9,1020
106 ps Water,IMG_0407,IMG_0407_10,109
106 ps Water,IMG_0407,IMG_0407_11,3185
106 ps Water,IMG_0407,IMG_0407_12,5825
106 ps Water,IMG_0407,IMG_0407_13,111
106 ps Water,IMG_0407,IMG_0407_14,214
106 ps Water,IMG_0407,IMG_0407_15,2348
106 ps Water,IMG_0407,IMG_0407_16,2256
106 ps Water,IMG_0407,IMG_0407_17,1550
106 ps Water,IMG_0407,IMG_0407_18,727
106 ps Water,IMG_0407,IMG_0407_19,425
106 ps Water,IMG_0407,IMG_0407_20,903
106 ps Water,IMG_0407,IMG_0407_21,1182
106 ps Water,IMG_0407,IMG_0407_22,839
106 ps Water,IMG_0407,IMG_0407_23,2342
106 ps Water,IMG_0407,IMG_0407_24,2188
106 ps Water,IMG_0407,IMG_0407_25,3914
106 ps Water,IMG_0407,IMG_0407_26,1490
106 ps Water,IMG_0407,IMG_0407_27,842
106 ps Water,IMG_0407,IMG_0407_28,1272
106 ps Water,IMG_0407,IMG_0407_29,796
106 ps Water,IMG_0407,IMG_0407_30,3579
106 ps Water,IMG_0407,IMG_0407_31,356
106 ps Water,IMG_0407,IMG_0407_32,1317
106 ps Water,IMG_0407,IMG_0407_33,525
106 ps Water,IMG_0407,IMG_0407_34,1117
106 ps Water,IMG_0407,IMG_0407_35,3003
106 ps Water,IMG_0407,IMG_0407_36,175
106 ps Water,IMG_0407,IMG_0407_37,912
106 ps Water,IMG_0407,IMG_0407_38,4603
106 ps Water,IMG_0407,IMG_0407_39,524
106 ps Water,IMG_0407,IMG_0407_40,4317
106 ps Water,IMG_0407,IMG_0407_41,567
106 ps Water,IMG_0407,IMG_0407_42,935
106 ps Water,IMG_0407,IMG_0407_43,592
106 ps Water,IMG_0407,IMG_0407_44,7699
106 ps Water,IMG_0407,IMG_0407_45,2119
106 ps Water,IMG_0407,IMG_0407_46,1707
106 ps Water,IMG_0407,IMG_0407_47,602
106 ps Water,IMG_0407,IMG_0407_48,353
106 ps Water,IMG_0407,IMG_0407_49,283
106 ps Water,IMG_0407,IMG_0407_50,897
106 ps Water,IMG_0407,IMG_0407_51,487
106 ps Water,IMG_0407,IMG_0407_52,772
106 ps Water,IMG_0407,IMG_0407_53,350
106 ps Water,IMG_0407,IMG_0407_54,595
106 ps Water,IMG_0407,IMG_0407_55,110
106 ps Water,IMG_0407,IMG_0407_56,629
106 ps Water,IMG_0407,IMG_0407_57,112
106 ps Water,IMG_0407,IMG_0407_58,423
106 ps Water,IMG_0407,IMG_0407_59,801
106 ps Water,IMG_0407,IMG_0407_60,626
106 ps Water,IMG_0407,IMG_0407_61,738
106 ps Water,IMG_0407,IMG_0407_62,1140
106 ps Water,IMG_0407,IMG_0407_63,904
106 ps Water,IMG_0407,IMG_0407_64,1118
106 ps Water,IMG_0407,IMG_0407_65,1532
106 ps Water,IMG_0407,IMG_0407_66,2379
106 ps Water,IMG_0407,IMG_0407_67,2662
106 ps Water,IMG_0407,IMG_0407_68,204
106 ps Water,IMG_0407,IMG_0407_69,2530
106 ps Water,IMG_0407,IMG_0407_70,247
106 ps Water,IMG_0407,IMG_0407_71,241
106 ps Water,IMG_0407,IMG_0407_72,2530
106 ps Water,IMG_0407,IMG_0407_73,1222
106 ps Water,IMG_0407,IMG_0407_74,1457
106 ps Water,IMG_0407,IMG_0407_75,74
106 ps Water,IMG_0407,IMG_0407_76,1036
106 ps Water,IMG_0407,IMG_0407_77,162
106 ps Water,IMG_0407,IMG_0407_78,1984
106 ps Water,IMG_0407,IMG_0407_79,3774
106 ps Water,IMG_0407,IMG_0407_80,252
106 ps Water,IMG_0407,IMG_0407_81,631
106 ps Water,IMG_0407,IMG_0407_82,213
106 ps Water,IMG_0407,IMG_0407_83,454
106 ps Water,IMG_0407,IMG_0407_84,80
106 ps Water,IMG_0407,IMG_0407_85,1215
106 ps Water,IMG_0407,IMG_0407_86,739
106 ps Water,IMG_0407,IMG_0407_87,1453
106 ps Water,IMG_0407,IMG_0407_88,187
106 ps Water,IMG_0407,IMG_0407_89,1042
106 ps Water,IMG_0407,IMG_0407_90,355
106 ps Water,IMG_0407,IMG_0407_91,355
106 ps Water,IMG_0407,IMG_0407_92,423
106 ps Water,IMG_0407,IMG_0407_93,462
106 ps Water,IMG_0407,IMG_0407_94,727
106 ps Water,IMG_0407,IMG_0407_95,179
103 ts Soil+Leaf,IMG_0239,IMG_0239_1,1231
103 ts Soil+Leaf,IMG_0239,IMG_0239_2,1708
103 ts Soil+Leaf,IMG_0239,IMG_0239_3,1356
103 ts Soil+Leaf,IMG_0239,IMG_0239_4,502
103 ts Soil+Leaf,IMG_0239,IMG_0239_5,636
103 ts Soil+Leaf,IMG_0239,IMG_0239_6,873
103 ts Soil+Leaf,IMG_0239,IMG_0239_7,1117
103 ts Soil+Leaf,IMG_0239,IMG_0239_8,742
103 ts Soil+Leaf,IMG_0239,IMG_0239_9,952
103 ts Soil+Leaf,IMG_0239,IMG_0239_10,389
103 ts Soil+Leaf,IMG_0239,IMG_0239_11,1156
103 ts Soil+Leaf,IMG_0239,IMG_0239_12,949
103 ts Soil+Leaf,IMG_0239,IMG_0239_13,748
103 ts Soil+Leaf,IMG_0239,IMG_0239_14,179
103 ts Soil+Leaf,IMG_0239,IMG_0239_15,185
103 ts Soil+Leaf,IMG_0239,IMG_0239_16,455
103 ts Soil+Leaf,IMG_0239,IMG_0239_17,251
103 ts Soil+Leaf,IMG_0239,IMG_0239_18,110
103 ts Soil+Leaf,IMG_0239,IMG_0239_19,2067
103 ts Soil+Leaf,IMG_0239,IMG_0239_20,463
103 ts Soil+Leaf,IMG_0239,IMG_0239_21,2172
103 ts Soil+Leaf,IMG_0239,IMG_0239_22,2033
103 ts Soil+Leaf,IMG_0239,IMG_0239_23,500
103 ts Soil+Leaf,IMG_0239,IMG_0239_24,702
103 ts Soil+Leaf,IMG_0239,IMG_0239_25,985
103 ts Soil+Leaf,IMG_0239,IMG_0239_26,456
103 ts Soil+Leaf,IMG_0239,IMG_0239_27,916
103 ts Soil+Leaf,IMG_0239,IMG_0239_28,1597
103 ts Soil+Leaf,IMG_0239,IMG_0239_29,1615
103 ts Soil+Leaf,IMG_0239,IMG_0239_30,3140
103 ts Soil+Leaf,IMG_0239,IMG_0239_31,316
103 ts Soil+Leaf,IMG_0239,IMG_0239_32,3013
103 ts Soil+Leaf,IMG_0239,IMG_0239_33,320
103 ts Soil+Leaf,IMG_0239,IMG_0239_34,1539
103 ts Soil+Leaf,IMG_0239,IMG_0239_35,497
103 ts Soil+Leaf,IMG_0239,IMG_0239_36,1626
103 ts Soil+Leaf,IMG_0239,IMG_0239_37,428
103 ts Soil+Leaf,IMG_0239,IMG_0239_38,988
103 ts Soil+Leaf,IMG_0239,IMG_0239_39,592
103 ts Soil+Leaf,IMG_0239,IMG_0239_40,144
103 ts Soil+Leaf,IMG_0239,IMG_0239_41,274
103 ts Soil+Leaf,IMG_0239,IMG_0239_42,1443
102 ts Soil,IMG_0208,IMG_0208_1,460
102 ts Soil,IMG_0208,IMG_0208_2,701
102 ts Soil,IMG_0208,IMG_0208_3,3425
102 ts Soil,IMG_0208,IMG_0208_4,567
102 ts Soil,IMG_0208,IMG_0208_5,4645
102 ts Soil,IMG_0208,IMG_0208_6,567
